,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
41,Kenny Payne\payneke01,24,PHI,NBA,1990-91,47,6,9.4,1.4,4,1.4,3.6,0.1,0.4,0.6,0.6,0.4,1,1.4,0.3,0.2,0.1,0.4,0.9,3.5,0.36,0.374,0.222,0.37,0.897,0.411
42,Dražen Petrović\petrodr01,26,TOT,NBA,1990-91,61,0,16.6,4,8.1,3.6,7,0.4,1.1,1.9,2.2,0.8,1,1.8,1.4,0.7,0,1.3,2.2,10.2,0.493,0.514,0.354,0.516,0.832,0.563
43,Dave Popson\popsoda01,26,BOS,NBA,1990-91,19,0,3.4,0.7,1.7,0.7,1.7,0,0,0.5,0.5,0.4,0.4,0.7,0.1,0.1,0.1,0.3,0.6,1.8,0.406,0.406,,0.406,0.9,0.481
44,Brian Quinnett\quinnbr01,24,NYK,NBA,1990-91,68,5,14.9,2,4.5,1.8,3.8,0.2,0.6,0.4,0.5,1,1.2,2.1,0.8,0.3,0.2,0.8,1.5,4.7,0.459,0.477,0.349,0.483,0.722,0.5
45,J.R. Reid\reidjr01,22,CHH,NBA,1990-91,80,80,30.8,4.5,9.7,4.5,9.6,0,0,2.3,3.2,1.9,4.4,6.3,1.1,1.1,0.6,1.9,3.6,11.3,0.466,0.467,0,0.466,0.703,0.508
46,Glen Rice\ricegl01,23,MIA,NBA,1990-91,77,77,34.4,7.1,15.5,6.2,13.1,0.9,2.4,2.2,2.7,1.1,3.8,4.9,2.5,1.3,0.3,2.2,2.8,17.4,0.461,0.475,0.386,0.491,0.818,0.522
47,Pooh Richardson\richapo01,24,MIN,NBA,1990-91,82,82,38.5,7.7,16.5,7.2,14.9,0.5,1.6,1.1,2,1,2.5,3.5,9,1.6,0.2,2.1,1.4,17.1,0.47,0.485,0.328,0.486,0.539,0.492
48,Clifford Robinson\robincl02,24,POR,NBA,1990-91,82,11,23.7,4.5,9.8,4.5,9.6,0.1,0.2,2.5,3.8,1.5,2.8,4.3,1.8,1,0.9,1.6,3.2,11.7,0.463,0.466,0.316,0.467,0.653,0.507
49,David Robinson\robinda01,25,SAS,NBA,1990-91,82,81,37.7,9.2,16.7,9.2,16.6,0,0.1,7.2,9.5,4.1,8.9,13,2.5,1.5,3.9,3.3,3.2,25.6,0.552,0.554,0.143,0.552,0.762,0.615
50,Delaney Rudd\ruddde01,28,UTA,NBA,1990-91,82,0,10.7,1.5,3.5,1.3,2.7,0.2,0.7,0.7,0.9,0.2,0.6,0.8,2.6,0.4,0,1.2,1.1,4,0.435,0.478,0.279,0.465,0.831,0.512
