GS_PCT,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,ALL_STAR,ALL_NBA
0.88,35.0,6.8,14.9,5.2,11.0,1.6,3.9,3.2,3.8,0.9,3.4,4.4,2.1,1.0,0.3,1.7,2.4,18.3,.456,.476,.400,.508,.846,3,2
0.76,30.4,4.8,10.7,4.2,9.0,0.6,1.7,1.0,1.5,0.7,2.1,2.8,6.5,1.3,0.2,1.8,1.8,11.1,.444,.465,.329,.470,.652,0,0
0.61,30.8,5.4,12.2,4.4,9.7,0.9,2.5,2.6,3.7,1.3,3.2,4.6,2.2,1.0,1.0,1.8,3.0,14.2,.438,.459,.356,.475,.689,1,0
1.0,34.7,7.5,14.4,7.4,14.3,0.0,0.1,6.1,8.3,3.1,7.5,10.6,2.5,1.4,3.0,2.4,2.9,21.1,.518,.520,.250,.519,.736,10,10
0.01,9.9,1.3,3.2,1.1,2.5,0.2,0.7,0.6,0.8,0.2,0.6,0.8,2.2,0.3,0.0,1.0,1.0,3.4,.413,.459,.257,.442,.761,0,0
0.0,8.4,0.9,2.3,0.9,2.3,0.0,0.0,0.3,0.4,0.7,1.1,1.9,0.5,0.3,0.2,0.6,1.2,2.0,.395,.395,0,.395,.609,0,0
0.38,23.0,2.7,6.8,2.3,5.3,0.5,1.5,1.0,1.3,0.8,2.6,3.4,4.2,0.8,0.3,1.8,2.1,6.9,.403,.431,.304,.437,.782,0,0
0.0,8.1,0.9,2.1,0.9,1.9,0.0,0.1,0.8,1.1,0.2,0.8,1.0,1.6,0.5,0.0,0.6,1.2,2.5,.433,.464,.000,.433,.675,0,0
0.0,8.4,1.1,2.6,1.1,2.6,0.0,0.0,0.7,0.9,0.6,0.7,1.3,1.1,0.3,0.0,0.6,0.8,2.9,.430,.437,.000,.430,.714,0,0
0.07,9.4,2.1,4.4,2.0,4.0,0.1,0.4,0.7,0.9,0.5,1.0,1.5,1.0,0.1,0.0,0.8,0.8,5.0,.474,.509,.150,.481,.835,0,0
0.48,27.2,4.6,11.1,3.2,6.9,1.4,4.1,2.0,2.6,0.5,2.0,2.5,3.6,1.1,0.1,1.8,2.6,12.5,.412,.455,.340,.476,.769,1,0
0.0,5.7,0.7,2.0,0.6,1.7,0.1,0.3,0.5,0.6,0.3,0.3,0.6,1.0,0.2,0.1,0.8,0.6,1.9,.333,.354,.200,.347,.792,0,0
0.09,9.4,1.6,3.8,1.5,3.3,0.2,0.5,0.7,0.8,0.1,0.6,0.7,1.4,0.2,0.1,0.6,1.1,4.1,.422,.441,.296,.441,.875,0,0
0.56,24.6,3.9,8.1,3.8,7.8,0.1,0.3,1.7,2.2,0.8,1.7,2.5,1.9,0.7,0.3,1.2,2.8,9.6,.481,.491,.191,.484,.801,0,0
0.23,19.2,2.8,6.9,2.7,6.4,0.1,0.5,1.7,2.5,1.9,3.0,4.9,0.6,0.7,0.5,1.3,3.1,7.4,.401,.417,.193,.408,.707,0,0
0.08,13.5,1.4,3.1,1.1,2.3,0.3,0.8,0.9,1.1,0.9,1.5,2.4,0.7,0.4,0.2,0.6,2.3,3.9,.449,.488,.338,.493,.785,0,0
0.44,20.1,2.1,5.0,1.8,3.9,0.3,1.0,1.0,1.3,0.4,1.9,2.3,3.9,1.0,0.1,1.5,1.9,5.5,.419,.444,.323,.452,.764,0,0
0.21,12.5,2.4,4.8,2.4,4.8,0.0,0.0,0.9,1.3,1.1,2.2,3.3,0.3,0.3,0.3,1.0,1.9,5.7,.502,.503,.000,.502,.701,0,0
0.57,26.7,6.0,13.6,5.2,11.3,0.8,2.3,1.8,2.0,0.4,1.5,1.9,3.5,0.8,0.1,1.6,1.9,14.6,.442,.460,.354,.472,.905,0,0
0.14,15.0,2.4,5.4,2.2,4.8,0.2,0.6,0.7,0.9,0.7,1.4,2.1,0.9,0.4,0.2,0.7,1.8,5.8,.449,.472,.282,.466,.772,0,0
0.16,16.4,1.4,3.5,0.8,1.9,0.6,1.6,0.5,0.6,1.1,1.9,2.9,0.8,0.6,0.3,0.7,2.3,3.8,.401,.440,.355,.483,.717,0,0
