,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
47,J.P. Macura\macurjp01,24,CLE,NBA,2019-20,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
48,Josh Magette\magetjo01,30,ORL,NBA,2019-20,8,0,4.8,0.6,1.9,0.5,1.4,0.1,0.5,0.1,0.3,0.1,0.6,0.8,0.6,0.4,0.1,0.6,0.5,1.5,.333,.364,.250,.367,.500,.378
49,De'Anthony Melton\meltode01,21,MEM,NBA,2019-20,52,8,19.4,2.8,6.8,2.1,4.5,0.7,2.3,1.7,2.0,0.7,3.0,3.7,3.0,1.3,0.3,1.5,1.8,8.1,.419,.470,.316,.472,.821,.525
50,Chimezie Metu\metuch01,22,SAS,NBA,2019-20,16,0,4.6,1.3,2.2,1.3,2.1,0.0,0.1,0.4,0.5,0.6,1.0,1.6,0.4,0.1,0.3,0.3,0.3,2.9,.571,.588,.000,.571,.750,.597
51,Shake Milton\miltosh01,23,PHI,NBA,2019-20,32,16,19.1,3.4,6.8,1.9,3.5,1.5,3.3,1.2,1.6,0.3,1.8,2.1,2.2,0.6,0.2,1.2,2.2,9.5,.498,.541,.453,.608,.765,.633
52,Džanan Musa\musadz01,20,BRK,NBA,2019-20,35,0,11.5,1.4,4.0,1.0,2.1,0.4,1.9,0.9,1.3,0.5,1.5,2.0,0.9,0.4,0.0,0.8,0.7,4.2,.360,.473,.231,.414,.750,.467
53,Sviatoslav Mykhailiuk\mykhasv01,22,DET,NBA,2019-20,56,27,22.6,3.0,7.2,0.9,2.1,2.1,5.1,1.0,1.3,0.3,1.6,1.9,1.9,0.7,0.1,1.1,1.6,9.0,.410,.425,.404,.552,.814,.578
54,Elie Okobo\okoboel01,22,PHO,NBA,2019-20,54,3,13.1,1.3,3.4,0.9,2.0,0.5,1.3,0.9,1.2,0.3,1.3,1.6,2.1,0.4,0.1,0.7,1.0,4.0,.398,.427,.352,.467,.687,.511
55,Josh Okogie\okogijo01,21,MIN,NBA,2019-20,62,28,25.0,2.7,6.4,2.1,3.9,0.7,2.5,2.5,3.1,1.4,2.9,4.3,1.6,1.1,0.4,1.4,2.2,8.6,.427,.529,.266,.479,.796,.553
56,Theo Pinson\pinsoth01,24,BRK,NBA,2019-20,33,0,11.1,1.4,4.7,0.9,2.3,0.5,2.4,0.5,0.5,0.3,1.3,1.6,1.7,0.5,0.1,1.0,1.1,3.6,.290,.400,.188,.339,.938,.370
